"Unnamed..0","Objektart","Name","Link","Address","image_url"
66,"Skateanlage","Scharnhorst","https://www.dortmund.de/de/leben_in_dortmund/familie_und_soziales/buero_fuer_kinderinteressen/sportanlagen_1/index.html","Flughafenstraße nan, Dortmund","https://www.dortmund.de/media/p/dietrich_keuning_haus__dkh_/dkh_1/skatepark_PanoramaKlein.jpg"
67,"StadionArena","Hockeyzentrum-Hockeyanlage","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Ardeystraße 70-72, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
68,"Fussball","BVB-Trainingsgelände","","Adi-Preißler-Allee 9, Dortmund","https://www.bvb.de/var/ezdemo_site/storage/images/media/bilder/galeriebilder/trainingsgelaende-anfahrt-g/2595905-1-ger-DE/Trainingsgelaende-Anfahrt-G_bvbinfobild_regular.jpg"
69,"StadionArena","Werimboldstr.","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Werimboldstraße 12a, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
70,"StadionArena","Husener Eichwaldstr.","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Husener Eichwaldstraße 266, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
71,"StadionArena","Waldhausweg","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Waldhausweg 26, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
72,"StadionArena","Eckei-Volksgarten","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Eckei 96, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
73,"StadionArena","Zum Hallenbad","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Zum Hallenbad 14, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
74,"StadionArena","Stockumer Str.","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Stockumer Straße 237a, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
75,"StadionArena","Büttnerstr.","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Büttnerstraße 87, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
76,"StadionArena","Schürener Str./oberer Platz u. unterer Platz","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Schürener Straße 47a, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
77,"StadionArena","Schumannstr./Lortzingplatz","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Schumannstraße 5a, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
78,"StadionArena","Schweizer Allee (Schulsportanlage)","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Schweizer Allee 18-20, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
79,"StadionArena","Spreestr.","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Am Zippen 17, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
80,"StadionArena","Eberstr./Alemanniasportplatz","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Eberstraße nan, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
81,"Schiessen","Landesleistungszentrum des Westfälischen Schützenbundes","http://www.wsb1861.de/","Eberstraße 30, Dortmund","https://www.wsb1861.de/images/News2023/230331_DST_-_Kopie.jpg"
82,"Pferderennbahn","Galopprennbahn Dortmund","http://www.dortmunder-rennverein.de","Rennweg 70, Dortmund","https://www.dortmunder-rennverein.de/fileadmin/drv/header/header-drv-2.jpg"
83,"StadionArena","Hoeschpark","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Kirchderner Straße nan, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
84,"StadionArena","Am Hombruchsfeld","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Am Hombruchsfeld 71, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
