Unnamed: 0,Objektart,Name,Link,Address
91,StadionArena,Benninghofen/Hüttenhospitalstr.,http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html,"Hüttenhospitalstraße 5, Dortmund"
92,Tennis,Grüningsweg,http://www.tc-g.de/cms2/index.php/home,"Grüningsweg 102, Dortmund"
93,Tennis,Tennisanlage Technische Universität Dortmund,,"Otto-Hahn-Straße nan, Dortmund"
94,Tennis,Arthur-Beringer-Str.,http://www.huckarder-tennisclub.de/,"Arthur-Beringer-Straße 35, Dortmund"
95,MountainbikeArena,Mountainbike-Strecke (Kley),https://www.dortmund.de/de/leben_in_dortmund/familie_und_soziales/buero_fuer_kinderinteressen/sportanlagen_1/index.html,"Kleybredde nan, Dortmund"
96,StadionArena,Kruckeler Str./Rüdinghauser Str.,http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html,
97,Golf,Dortmunder Goldclub e.V.,https://www.dortmunder-golfclub.de/news.html,"Reichsmarkstraße 12, Dortmund"
98,StadionArena,Derner Str.,http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html,"Derner Straße 423a, Dortmund"
99,Tennis,Hellerstraße,,"Hellerstraße 115, Dortmund"
100,Tennis,Rüdinghauser Straße,,"Rüdinghauser Straße 15, Dortmund"
101,Tennis,Kieferstraße,,"Kieferstraße 34, Dortmund"
102,StadionArena,Derner Straße,,"Derner Straße 423A, Dortmund"
103,Tennis,Sanderoth,,"Sanderoth 9, Dortmund"
104,MountainbikeArena,Mountainbike-Arena (Deusenberg),,"Lindberghstraße nan, Dortmund"
105,Sportanlage,Helmut-Körnig-Halle,,"Strobelallee 40, Dortmund"
106,Golf,GolfRange GmbH,https://dortmund.golfrange.de/startseite.html,"Rennweg nan, Dortmund"
107,Skateanlage,Innenstadt-West,https://www.dortmund.de/de/leben_in_dortmund/familie_und_soziales/buero_fuer_kinderinteressen/sportanlagen_1/index.html,
108,StadionArena,Probstheidastr.,http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html,"Probstheidastraße 13, Dortmund"
